EPotencial:	ECinetica:	ETotal:
-6.602746,	3.312357,	-3.290389
-6.602967,	3.312467,	-3.290500
-6.603188,	3.312577,	-3.290611
-6.603409,	3.312688,	-3.290721
-6.603629,	3.312798,	-3.290832
-6.603850,	3.312908,	-3.290942
-6.604071,	3.313018,	-3.291053
-6.604291,	3.313128,	-3.291163
-6.604512,	3.313239,	-3.291274
-6.604733,	3.313349,	-3.291384
-6.604954,	3.313459,	-3.291495
-6.605174,	3.313569,	-3.291605
-6.605395,	3.313679,	-3.291716
-6.605616,	3.313790,	-3.291826
-6.605837,	3.313900,	-3.291937
-6.606057,	3.314010,	-3.292047
-6.606278,	3.314120,	-3.292158
-6.606499,	3.314230,	-3.292268
-6.606719,	3.314341,	-3.292379
-6.606940,	3.314451,	-3.292489
-6.607161,	3.314561,	-3.292600
-6.607382,	3.314671,	-3.292710
-6.607602,	3.314781,	-3.292821
-6.607823,	3.314892,	-3.292932
-6.608044,	3.315002,	-3.293042
-6.608265,	3.315112,	-3.293153
-6.608485,	3.315222,	-3.293263
-6.608706,	3.315332,	-3.293374
-6.608927,	3.315443,	-3.293484
-6.609147,	3.315553,	-3.293595
-6.609368,	3.315663,	-3.293705
-6.609589,	3.315773,	-3.293816
-6.609810,	3.315883,	-3.293926
-6.610030,	3.315994,	-3.294037
-6.610251,	3.316104,	-3.294147
-6.610472,	3.316214,	-3.294258
-6.610693,	3.316324,	-3.294368
-6.610913,	3.316434,	-3.294479
-6.611134,	3.316545,	-3.294589
-6.611355,	3.316655,	-3.294700
-6.611575,	3.316765,	-3.294810
-6.611796,	3.316875,	-3.294921
-6.612017,	3.316985,	-3.295031
-6.612238,	3.317096,	-3.295142
-6.612458,	3.317206,	-3.295253
-6.612679,	3.317316,	-3.295363
-6.612900,	3.317426,	-3.295474
-6.613120,	3.317536,	-3.295584
-6.613341,	3.317647,	-3.295695
-6.613562,	3.317757,	-3.295805
-6.613783,	3.317867,	-3.295916
-6.614003,	3.317977,	-3.296026
-6.614224,	3.318087,	-3.296137
-6.614445,	3.318198,	-3.296247
-6.614666,	3.318308,	-3.296358
-6.614886,	3.318418,	-3.296468
-6.615107,	3.318528,	-3.296579
-6.615328,	3.318638,	-3.296689
-6.615548,	3.318749,	-3.296800
-6.615769,	3.318859,	-3.296910
-6.615990,	3.318969,	-3.297021
-6.616211,	3.319079,	-3.297131
-6.616431,	3.319189,	-3.297242
-6.616652,	3.319300,	-3.297352
-6.616873,	3.319410,	-3.297463
-6.617094,	3.319520,	-3.297573
-6.617314,	3.319630,	-3.297684
-6.617535,	3.319740,	-3.297795
-6.617756,	3.319851,	-3.297905
-6.617976,	3.319961,	-3.298016
-6.618197,	3.320071,	-3.298126
-6.618418,	3.320181,	-3.298237
-6.618639,	3.320291,	-3.298347
-6.618859,	3.320402,	-3.298458
-6.619080,	3.320512,	-3.298568
-6.619301,	3.320622,	-3.298679
-6.619521,	3.320732,	-3.298789
-6.619742,	3.320842,	-3.298900
-6.619963,	3.320953,	-3.299010
-6.620184,	3.321063,	-3.299121
-6.620404,	3.321173,	-3.299231
-6.620625,	3.321283,	-3.299342
-6.620846,	3.321393,	-3.299452
-6.621067,	3.321504,	-3.299563
-6.621287,	3.321614,	-3.299673
-6.621508,	3.321724,	-3.299784
-6.621729,	3.321834,	-3.299894
-6.621949,	3.321944,	-3.300005
-6.622170,	3.322055,	-3.300116
-6.622391,	3.322165,	-3.300226
-6.622612,	3.322275,	-3.300337
-6.622832,	3.322385,	-3.300447
-6.623053,	3.322495,	-3.300558
-6.623274,	3.322606,	-3.300668
-6.623495,	3.322716,	-3.300779
-6.623715,	3.322826,	-3.300889
-6.623936,	3.322936,	-3.301000
-6.624157,	3.323046,	-3.301110
-6.624377,	3.323157,	-3.301221
-6.624598,	3.323267,	-3.301331
-6.624819,	3.323377,	-3.301442
-6.625040,	3.323487,	-3.301552
-6.625260,	3.323597,	-3.301663
-6.625481,	3.323708,	-3.301773
-6.625702,	3.323818,	-3.301884
-6.625922,	3.323928,	-3.301994
-6.626143,	3.324038,	-3.302105
-6.626364,	3.324148,	-3.302215
-6.626585,	3.324259,	-3.302326
-6.626805,	3.324369,	-3.302437
-6.627026,	3.324479,	-3.302547
-6.627247,	3.324589,	-3.302658
-6.627468,	3.324699,	-3.302768
-6.627688,	3.324810,	-3.302879
-6.627909,	3.324920,	-3.302989
-6.628130,	3.325030,	-3.303100
-6.628350,	3.325140,	-3.303210
-6.628571,	3.325250,	-3.303321
-6.628792,	3.325361,	-3.303431
-6.629013,	3.325471,	-3.303542
-6.629233,	3.325581,	-3.303652
-6.629454,	3.325691,	-3.303763
-6.629675,	3.325801,	-3.303873
-6.629895,	3.325912,	-3.303984
-6.630116,	3.326022,	-3.304094
-6.630337,	3.326132,	-3.304205
-6.630558,	3.326242,	-3.304315
-6.630778,	3.326352,	-3.304426
-6.630999,	3.326463,	-3.304536
-6.631220,	3.326573,	-3.304647
-6.631441,	3.326683,	-3.304758
-6.631661,	3.326793,	-3.304868
-6.631882,	3.326903,	-3.304979
-6.632103,	3.327014,	-3.305089
-6.632323,	3.327124,	-3.305200
-6.632544,	3.327234,	-3.305310
-6.632765,	3.327344,	-3.305421
-6.632986,	3.327454,	-3.305531
-6.633206,	3.327565,	-3.305642
-6.633427,	3.327675,	-3.305752
-6.633648,	3.327785,	-3.305863
-6.633868,	3.327895,	-3.305973
-6.634089,	3.328005,	-3.306084
-6.634310,	3.328116,	-3.306194
-6.634531,	3.328226,	-3.306305
-6.634751,	3.328336,	-3.306415
-6.634972,	3.328446,	-3.306526
-6.635193,	3.328556,	-3.306636
-6.635414,	3.328667,	-3.306747
-6.635634,	3.328777,	-3.306857
-6.635855,	3.328887,	-3.306968
-6.636076,	3.328997,	-3.307078
-6.636296,	3.329107,	-3.307189
-6.636517,	3.329218,	-3.307300
-6.636738,	3.329328,	-3.307410
-6.636959,	3.329438,	-3.307521
-6.637179,	3.329548,	-3.307631
-6.637400,	3.329658,	-3.307742
-6.637621,	3.329769,	-3.307852
-6.637841,	3.329879,	-3.307963
-6.638062,	3.329989,	-3.308073
-6.638283,	3.330099,	-3.308184
-6.638504,	3.330209,	-3.308294
-6.638724,	3.330320,	-3.308405
-6.638945,	3.330430,	-3.308515
-6.639166,	3.330540,	-3.308626
-6.639387,	3.330650,	-3.308736
-6.639607,	3.330760,	-3.308847
-6.639828,	3.330871,	-3.308957
-6.640049,	3.330981,	-3.309068
-6.640269,	3.331091,	-3.309178
-6.640490,	3.331201,	-3.309289
-6.640711,	3.331311,	-3.309399
-6.640932,	3.331422,	-3.309510
-6.641152,	3.331532,	-3.309621
-6.641373,	3.331642,	-3.309731
-6.641594,	3.331752,	-3.309842
-6.641814,	3.331862,	-3.309952
-6.642035,	3.331973,	-3.310063
-6.642256,	3.332083,	-3.310173
-6.642477,	3.332193,	-3.310284
-6.642697,	3.332303,	-3.310394
-6.642918,	3.332413,	-3.310505
-6.643139,	3.332524,	-3.310615
-6.643360,	3.332634,	-3.310726
-6.643580,	3.332744,	-3.310836
-6.643801,	3.332854,	-3.310947
-6.644022,	3.332964,	-3.311057
-6.644242,	3.333075,	-3.311168
-6.644463,	3.333185,	-3.311278
-6.644684,	3.333295,	-3.311389
-6.644905,	3.333405,	-3.311499
-6.645125,	3.333515,	-3.311610
-6.645346,	3.333626,	-3.311720
-6.645567,	3.333736,	-3.311831
-6.645787,	3.333846,	-3.311942
-6.646008,	3.333956,	-3.312052
-6.646229,	3.334066,	-3.312163
-6.646450,	3.334177,	-3.312273
-6.646670,	3.334287,	-3.312384
-6.646891,	3.334397,	-3.312494
-6.647112,	3.334507,	-3.312605
-6.647332,	3.334617,	-3.312715
-6.647553,	3.334727,	-3.312826
-6.647774,	3.334838,	-3.312936
-6.647995,	3.334948,	-3.313047
-6.648215,	3.335058,	-3.313157
-6.648436,	3.335168,	-3.313268
-6.648657,	3.335278,	-3.313378
-6.648878,	3.335389,	-3.313489
-6.649098,	3.335499,	-3.313599
-6.649319,	3.335609,	-3.313710
-6.649540,	3.335719,	-3.313820
-6.649760,	3.335829,	-3.313931
-6.649981,	3.335940,	-3.314041
-6.650202,	3.336050,	-3.314152
-6.650423,	3.336160,	-3.314263
-6.650643,	3.336270,	-3.314373
-6.650864,	3.336380,	-3.314484
-6.651085,	3.336491,	-3.314594
-6.651305,	3.336601,	-3.314705
-6.651526,	3.336711,	-3.314815
-6.651747,	3.336821,	-3.314926
-6.651968,	3.336931,	-3.315036
-6.652188,	3.337042,	-3.315147
-6.652409,	3.337152,	-3.315257
-6.652630,	3.337262,	-3.315368
-6.652850,	3.337372,	-3.315478
-6.653071,	3.337482,	-3.315589
-6.653292,	3.337593,	-3.315699
-6.653513,	3.337703,	-3.315810
-6.653733,	3.337813,	-3.315920
-6.653954,	3.337923,	-3.316031
-6.654175,	3.338033,	-3.316141
-6.654396,	3.338144,	-3.316252
-6.654616,	3.338254,	-3.316362
-6.654837,	3.338364,	-3.316473
-6.655058,	3.338474,	-3.316584
-6.655278,	3.338584,	-3.316694
-6.655499,	3.338695,	-3.316805
-6.655720,	3.338805,	-3.316915
-6.655941,	3.338915,	-3.317026
-6.656161,	3.339025,	-3.317136
-6.656382,	3.339135,	-3.317247
-6.656603,	3.339246,	-3.317357
-6.656823,	3.339356,	-3.317468
-6.657044,	3.339466,	-3.317578
-6.657265,	3.339576,	-3.317689
-6.657486,	3.339686,	-3.317799
-6.657706,	3.339797,	-3.317910
-6.657927,	3.339907,	-3.318020
-6.658148,	3.340017,	-3.318131
-6.658368,	3.340127,	-3.318241
-6.658589,	3.340237,	-3.318352
-6.658810,	3.340347,	-3.318462
-6.659031,	3.340458,	-3.318573
-6.659251,	3.340568,	-3.318683
-6.659472,	3.340678,	-3.318794
-6.659693,	3.340788,	-3.318904
-6.659913,	3.340898,	-3.319015
-6.660134,	3.341009,	-3.319126
-6.660355,	3.341119,	-3.319236
-6.660576,	3.341229,	-3.319347
-6.660796,	3.341339,	-3.319457
-6.661017,	3.341449,	-3.319568
-6.661238,	3.341560,	-3.319678
-6.661459,	3.341670,	-3.319789
-6.661679,	3.341780,	-3.319899
-6.661900,	3.341890,	-3.320010
-6.662121,	3.342000,	-3.320120
-6.662341,	3.342111,	-3.320231
-6.662562,	3.342221,	-3.320341
-6.662783,	3.342331,	-3.320452
-6.663004,	3.342441,	-3.320562
-6.663224,	3.342551,	-3.320673
-6.663445,	3.342662,	-3.320783
-6.663666,	3.342772,	-3.320894
-6.663886,	3.342882,	-3.321004
-6.664107,	3.342992,	-3.321115
-6.664328,	3.343102,	-3.321225
-6.664549,	3.343213,	-3.321336
-6.664769,	3.343323,	-3.321447
-6.664990,	3.343433,	-3.321557
-6.665211,	3.343543,	-3.321668
-6.665431,	3.343653,	-3.321778
-6.665652,	3.343764,	-3.321889
-6.665873,	3.343874,	-3.321999
-6.666094,	3.343984,	-3.322110
-6.666314,	3.344094,	-3.322220
-6.666535,	3.344204,	-3.322331
-6.666756,	3.344314,	-3.322441
-6.666976,	3.344425,	-3.322552
-6.667197,	3.344535,	-3.322662
-6.667418,	3.344645,	-3.322773
-6.667639,	3.344755,	-3.322883
-6.667859,	3.344865,	-3.322994
-6.668080,	3.344976,	-3.323104
-6.668301,	3.345086,	-3.323215
-6.668521,	3.345196,	-3.323325
-6.668742,	3.345306,	-3.323436
-6.668963,	3.345416,	-3.323546
-6.669184,	3.345527,	-3.323657
-6.669404,	3.345637,	-3.323768
-6.669625,	3.345747,	-3.323878
-6.669846,	3.345857,	-3.323989
-6.670066,	3.345967,	-3.324099
-6.670287,	3.346078,	-3.324210
-6.670508,	3.346188,	-3.324320
-6.670729,	3.346298,	-3.324431
-6.670949,	3.346408,	-3.324541
-6.671170,	3.346518,	-3.324652
-6.671391,	3.346629,	-3.324762
-6.671611,	3.346739,	-3.324873
-6.671832,	3.346849,	-3.324983
-6.672053,	3.346959,	-3.325094
-6.672274,	3.347069,	-3.325204
-6.672494,	3.347180,	-3.325315
-6.672715,	3.347290,	-3.325425
-6.672936,	3.347400,	-3.325536
-6.673156,	3.347510,	-3.325646
-6.673377,	3.347620,	-3.325757
-6.673598,	3.347730,	-3.325867
-6.673819,	3.347841,	-3.325978
-6.674039,	3.347951,	-3.326089
-6.674260,	3.348061,	-3.326199
-6.674481,	3.348171,	-3.326310
-6.674701,	3.348281,	-3.326420
-6.674922,	3.348392,	-3.326531
-6.675143,	3.348502,	-3.326641
-6.675364,	3.348612,	-3.326752
-6.675584,	3.348722,	-3.326862
-6.675805,	3.348832,	-3.326973
-6.676026,	3.348943,	-3.327083
-6.676247,	3.349053,	-3.327194
-6.676467,	3.349163,	-3.327304
-6.676688,	3.349273,	-3.327415
-6.676909,	3.349383,	-3.327525
-6.677129,	3.349494,	-3.327636
-6.677350,	3.349604,	-3.327746
-6.677571,	3.349714,	-3.327857
-6.677792,	3.349824,	-3.327967
-6.678012,	3.349934,	-3.328078
-6.678233,	3.350044,	-3.328188
-6.678454,	3.350155,	-3.328299
-6.678674,	3.350265,	-3.328409
-6.678895,	3.350375,	-3.328520
-6.679116,	3.350485,	-3.328631
-6.679337,	3.350595,	-3.328741
-6.679557,	3.350706,	-3.328852
-6.679778,	3.350816,	-3.328962
-6.679999,	3.350926,	-3.329073
-6.680219,	3.351036,	-3.329183
-6.680440,	3.351146,	-3.329294
-6.680661,	3.351257,	-3.329404
-6.680881,	3.351367,	-3.329515
-6.681102,	3.351477,	-3.329625
-6.681323,	3.351587,	-3.329736
-6.681544,	3.351697,	-3.329846
-6.681764,	3.351808,	-3.329957
-6.681985,	3.351918,	-3.330067
-6.682206,	3.352028,	-3.330178
-6.682426,	3.352138,	-3.330288
-6.682647,	3.352248,	-3.330399
-6.682868,	3.352358,	-3.330509
-6.683089,	3.352469,	-3.330620
-6.683309,	3.352579,	-3.330730
-6.683530,	3.352689,	-3.330841
-6.683751,	3.352799,	-3.330952
-6.683971,	3.352909,	-3.331062
-6.684192,	3.353020,	-3.331173
-6.684413,	3.353130,	-3.331283
-6.684634,	3.353240,	-3.331394
-6.684854,	3.353350,	-3.331504
-6.685075,	3.353460,	-3.331615
-6.685296,	3.353571,	-3.331725
-6.685516,	3.353681,	-3.331836
-6.685737,	3.353791,	-3.331946
-6.685958,	3.353901,	-3.332057
-6.686179,	3.354011,	-3.332167
-6.686399,	3.354122,	-3.332278
-6.686620,	3.354232,	-3.332388
-6.686841,	3.354342,	-3.332499
-6.687061,	3.354452,	-3.332609
-6.687282,	3.354562,	-3.332720
-6.687503,	3.354672,	-3.332830
-6.687724,	3.354783,	-3.332941
-6.687944,	3.354893,	-3.333051
-6.688165,	3.355003,	-3.333162
-6.688386,	3.355113,	-3.333273
-6.688606,	3.355223,	-3.333383
-6.688827,	3.355334,	-3.333494
-6.689048,	3.355444,	-3.333604
-6.689269,	3.355554,	-3.333715
-6.689489,	3.355664,	-3.333825
-6.689710,	3.355774,	-3.333936
-6.689931,	3.355885,	-3.334046
-6.690151,	3.355995,	-3.334157
-6.690372,	3.356105,	-3.334267
-6.690593,	3.356215,	-3.334378
-6.690814,	3.356325,	-3.334488
-6.691034,	3.356435,	-3.334599
-6.691255,	3.356546,	-3.334709
-6.691476,	3.356656,	-3.334820
-6.691696,	3.356766,	-3.334930
-6.691917,	3.356876,	-3.335041
-6.692138,	3.356986,	-3.335151
-6.692359,	3.357097,	-3.335262
-6.692579,	3.357207,	-3.335372
-6.692800,	3.357317,	-3.335483
-6.693021,	3.357427,	-3.335594
-6.693241,	3.357537,	-3.335704
-6.693462,	3.357648,	-3.335815
-6.693683,	3.357758,	-3.335925
-6.693903,	3.357868,	-3.336036
-6.694124,	3.357978,	-3.336146
-6.694345,	3.358088,	-3.336257
-6.694566,	3.358198,	-3.336367
-6.694786,	3.358309,	-3.336478
-6.695007,	3.358419,	-3.336588
-6.695228,	3.358529,	-3.336699
-6.695448,	3.358639,	-3.336809
-6.695669,	3.358749,	-3.336920
-6.695890,	3.358860,	-3.337030
-6.696111,	3.358970,	-3.337141
-6.696331,	3.359080,	-3.337251
-6.696552,	3.359190,	-3.337362
-6.696773,	3.359300,	-3.337472
-6.696993,	3.359410,	-3.337583
-6.697214,	3.359521,	-3.337693
-6.697435,	3.359631,	-3.337804
-6.697656,	3.359741,	-3.337915
-6.697876,	3.359851,	-3.338025
-6.698097,	3.359961,	-3.338136
-6.698318,	3.360072,	-3.338246
-6.698538,	3.360182,	-3.338357
-6.698759,	3.360292,	-3.338467
-6.698980,	3.360402,	-3.338578
-6.699201,	3.360512,	-3.338688
-6.699421,	3.360623,	-3.338799
-6.699642,	3.360733,	-3.338909
-6.699863,	3.360843,	-3.339020
-6.700083,	3.360953,	-3.339130
-6.700304,	3.361063,	-3.339241
-6.700525,	3.361173,	-3.339351
-6.700745,	3.361284,	-3.339462
-6.700966,	3.361394,	-3.339572
-6.701187,	3.361504,	-3.339683
-6.701408,	3.361614,	-3.339793
-6.701628,	3.361724,	-3.339904
-6.701849,	3.361835,	-3.340014
-6.702070,	3.361945,	-3.340125
-6.702290,	3.362055,	-3.340235
-6.702511,	3.362165,	-3.340346
-6.702732,	3.362275,	-3.340457
-6.702953,	3.362385,	-3.340567
-6.703173,	3.362496,	-3.340678
-6.703394,	3.362606,	-3.340788
-6.703615,	3.362716,	-3.340899
-6.703835,	3.362826,	-3.341009
-6.704056,	3.362936,	-3.341120
-6.704277,	3.363047,	-3.341230
-6.704497,	3.363157,	-3.341341
-6.704718,	3.363267,	-3.341451
-6.704939,	3.363377,	-3.341562
-6.705160,	3.363487,	-3.341672
-6.705380,	3.363597,	-3.341783
-6.705601,	3.363708,	-3.341893
-6.705822,	3.363818,	-3.342004
-6.706042,	3.363928,	-3.342114
-6.706263,	3.364038,	-3.342225
-6.706484,	3.364148,	-3.342335
-6.706705,	3.364259,	-3.342446
-6.706925,	3.364369,	-3.342556
-6.707146,	3.364479,	-3.342667
-6.707367,	3.364589,	-3.342778
-6.707587,	3.364699,	-3.342888
-6.707808,	3.364809,	-3.342999
-6.708029,	3.364920,	-3.343109
-6.708249,	3.365030,	-3.343220
-6.708470,	3.365140,	-3.343330
-6.708691,	3.365250,	-3.343441
-6.708912,	3.365360,	-3.343551
-6.709132,	3.365471,	-3.343662
-6.709353,	3.365581,	-3.343772
-6.709574,	3.365691,	-3.343883
-6.709794,	3.365801,	-3.343993
-6.710015,	3.365911,	-3.344104
-6.710236,	3.366021,	-3.344214
-6.710457,	3.366132,	-3.344325
-6.710677,	3.366242,	-3.344435
-6.710898,	3.366352,	-3.344546
-6.711119,	3.366462,	-3.344656
-6.711339,	3.366572,	-3.344767
-6.711560,	3.366683,	-3.344877
-6.711781,	3.366793,	-3.344988
-6.712001,	3.366903,	-3.345099
-6.712222,	3.367013,	-3.345209
-6.712443,	3.367123,	-3.345320
-6.712664,	3.367233,	-3.345430
-6.712884,	3.367344,	-3.345541
-6.713105,	3.367454,	-3.345651
-6.713326,	3.367564,	-3.345762
-6.713546,	3.367674,	-3.345872
-6.713767,	3.367784,	-3.345983
-6.713988,	3.367895,	-3.346093
-6.714208,	3.368005,	-3.346204
-6.714429,	3.368115,	-3.346314
-6.714650,	3.368225,	-3.346425
-6.714871,	3.368335,	-3.346535
-6.715091,	3.368445,	-3.346646
-6.715312,	3.368556,	-3.346756
-6.715533,	3.368666,	-3.346867
-6.715753,	3.368776,	-3.346977
-6.715974,	3.368886,	-3.347088
-6.716195,	3.368996,	-3.347198
-6.716416,	3.369107,	-3.347309
-6.716636,	3.369217,	-3.347420
-6.716857,	3.369327,	-3.347530
-6.717078,	3.369437,	-3.347641
-6.717298,	3.369547,	-3.347751
-6.717519,	3.369657,	-3.347862
-6.717740,	3.369768,	-3.347972
-6.717960,	3.369878,	-3.348083
-6.718181,	3.369988,	-3.348193
-6.718402,	3.370098,	-3.348304
-6.718623,	3.370208,	-3.348414
-6.718843,	3.370318,	-3.348525
-6.719064,	3.370429,	-3.348635
-6.719285,	3.370539,	-3.348746
-6.719505,	3.370649,	-3.348856
-6.719726,	3.370759,	-3.348967
-6.719947,	3.370869,	-3.349077
-6.720167,	3.370980,	-3.349188
-6.720388,	3.371090,	-3.349298
-6.720609,	3.371200,	-3.349409
-6.720830,	3.371310,	-3.349519
-6.721050,	3.371420,	-3.349630
-6.721271,	3.371530,	-3.349740
-6.721492,	3.371641,	-3.349851
-6.721712,	3.371751,	-3.349962
-6.721933,	3.371861,	-3.350072
-6.722154,	3.371971,	-3.350183
-6.722374,	3.372081,	-3.350293
-6.722595,	3.372191,	-3.350404
-6.722816,	3.372302,	-3.350514
-6.723037,	3.372412,	-3.350625
-6.723257,	3.372522,	-3.350735
-6.723478,	3.372632,	-3.350846
-6.723699,	3.372742,	-3.350956
-6.723919,	3.372853,	-3.351067
-6.724140,	3.372963,	-3.351177
-6.724361,	3.373073,	-3.351288
-6.724581,	3.373183,	-3.351398
-6.724802,	3.373293,	-3.351509
-6.725023,	3.373403,	-3.351619
-6.725244,	3.373514,	-3.351730
-6.725464,	3.373624,	-3.351840
-6.725685,	3.373734,	-3.351951
-6.725906,	3.373844,	-3.352061
-6.726126,	3.373954,	-3.352172
-6.726347,	3.374064,	-3.352283
-6.726568,	3.374175,	-3.352393
-6.726788,	3.374285,	-3.352504
-6.727009,	3.374395,	-3.352614
-6.727230,	3.374505,	-3.352725
-6.727451,	3.374615,	-3.352835
-6.727671,	3.374726,	-3.352946
-6.727892,	3.374836,	-3.353056
-6.728113,	3.374946,	-3.353167
-6.728333,	3.375056,	-3.353277
-6.728554,	3.375166,	-3.353388
-6.728775,	3.375276,	-3.353498
-6.728995,	3.375387,	-3.353609
-6.729216,	3.375497,	-3.353719
-6.729437,	3.375607,	-3.353830
-6.729657,	3.375717,	-3.353940
-6.729878,	3.375827,	-3.354051
-6.730099,	3.375937,	-3.354161
-6.730320,	3.376048,	-3.354272
-6.730540,	3.376158,	-3.354382
-6.730761,	3.376268,	-3.354493
-6.730982,	3.376378,	-3.354604
-6.731202,	3.376488,	-3.354714
-6.731423,	3.376598,	-3.354825
-6.731644,	3.376709,	-3.354935
-6.731864,	3.376819,	-3.355046
-6.732085,	3.376929,	-3.355156
-6.732306,	3.377039,	-3.355267
-6.732527,	3.377149,	-3.355377
-6.732747,	3.377260,	-3.355488
-6.732968,	3.377370,	-3.355598
-6.733189,	3.377480,	-3.355709
-6.733409,	3.377590,	-3.355819
-6.733630,	3.377700,	-3.355930
-6.733851,	3.377810,	-3.356040
-6.734071,	3.377921,	-3.356151
-6.734292,	3.378031,	-3.356261
-6.734513,	3.378141,	-3.356372
-6.734734,	3.378251,	-3.356482
-6.734954,	3.378361,	-3.356593
-6.735175,	3.378471,	-3.356703
-6.735396,	3.378582,	-3.356814
-6.735616,	3.378692,	-3.356925
-6.735837,	3.378802,	-3.357035
-6.736058,	3.378912,	-3.357146
-6.736278,	3.379022,	-3.357256
-6.736499,	3.379132,	-3.357367
-6.736720,	3.379243,	-3.357477
-6.736940,	3.379353,	-3.357588
-6.737161,	3.379463,	-3.357698
-6.737382,	3.379573,	-3.357809
-6.737603,	3.379683,	-3.357919
-6.737823,	3.379793,	-3.358030
-6.738044,	3.379904,	-3.358140
-6.738265,	3.380014,	-3.358251
-6.738485,	3.380124,	-3.358361
-6.738706,	3.380234,	-3.358472
-6.738927,	3.380344,	-3.358582
-6.739147,	3.380455,	-3.358693
-6.739368,	3.380565,	-3.358803
-6.739589,	3.380675,	-3.358914
-6.739809,	3.380785,	-3.359024
-6.740030,	3.380895,	-3.359135
-6.740251,	3.381005,	-3.359246
-6.740472,	3.381116,	-3.359356
-6.740692,	3.381226,	-3.359467
-6.740913,	3.381336,	-3.359577
-6.741134,	3.381446,	-3.359688
-6.741354,	3.381556,	-3.359798
-6.741575,	3.381666,	-3.359909
-6.741796,	3.381777,	-3.360019
-6.742016,	3.381887,	-3.360130
-6.742237,	3.381997,	-3.360240
-6.742458,	3.382107,	-3.360351
-6.742678,	3.382217,	-3.360461
-6.742899,	3.382327,	-3.360572
-6.743120,	3.382438,	-3.360682
-6.743341,	3.382548,	-3.360793
-6.743561,	3.382658,	-3.360903
-6.743782,	3.382768,	-3.361014
-6.744003,	3.382878,	-3.361124
-6.744223,	3.382988,	-3.361235
-6.744444,	3.383099,	-3.361345
-6.744665,	3.383209,	-3.361456
-6.744885,	3.383319,	-3.361566
-6.745106,	3.383429,	-3.361677
-6.745327,	3.383539,	-3.361788
-6.745547,	3.383649,	-3.361898
-6.745768,	3.383760,	-3.362009
-6.745989,	3.383870,	-3.362119
-6.746210,	3.383980,	-3.362230
-6.746430,	3.384090,	-3.362340
-6.746651,	3.384200,	-3.362451
-6.746872,	3.384310,	-3.362561
-6.747092,	3.384421,	-3.362672
-6.747313,	3.384531,	-3.362782
-6.747534,	3.384641,	-3.362893
-6.747754,	3.384751,	-3.363003
-6.747975,	3.384861,	-3.363114
-6.748196,	3.384971,	-3.363224
-6.748416,	3.385082,	-3.363335
-6.748637,	3.385192,	-3.363445
-6.748858,	3.385302,	-3.363556
-6.749079,	3.385412,	-3.363666
-6.749299,	3.385522,	-3.363777
-6.749520,	3.385632,	-3.363887
-6.749741,	3.385743,	-3.363998
-6.749961,	3.385853,	-3.364109
-6.750182,	3.385963,	-3.364219
-6.750403,	3.386073,	-3.364330
-6.750623,	3.386183,	-3.364440
-6.750844,	3.386293,	-3.364551
-6.751065,	3.386404,	-3.364661
-6.751285,	3.386514,	-3.364772
-6.751506,	3.386624,	-3.364882
-6.751727,	3.386734,	-3.364993
-6.751947,	3.386844,	-3.365103
-6.752168,	3.386954,	-3.365214
-6.752389,	3.387065,	-3.365324
-6.752610,	3.387175,	-3.365435
-6.752830,	3.387285,	-3.365545
-6.753051,	3.387395,	-3.365656
-6.753272,	3.387505,	-3.365766
-6.753492,	3.387615,	-3.365877
-6.753713,	3.387726,	-3.365987
-6.753934,	3.387836,	-3.366098
-6.754154,	3.387946,	-3.366208
-6.754375,	3.388056,	-3.366319
-6.754596,	3.388166,	-3.366430
-6.754816,	3.388276,	-3.366540
-6.755037,	3.388387,	-3.366651
-6.755258,	3.388497,	-3.366761
-6.755478,	3.388607,	-3.366872
-6.755699,	3.388717,	-3.366982
-6.755920,	3.388827,	-3.367093
-6.756141,	3.388937,	-3.367203
-6.756361,	3.389048,	-3.367314
-6.756582,	3.389158,	-3.367424
-6.756803,	3.389268,	-3.367535
-6.757023,	3.389378,	-3.367645
-6.757244,	3.389488,	-3.367756
-6.757465,	3.389598,	-3.367866
-6.757685,	3.389708,	-3.367977
-6.757906,	3.389819,	-3.368087
-6.758127,	3.389929,	-3.368198
-6.758347,	3.390039,	-3.368308
-6.758568,	3.390149,	-3.368419
-6.758789,	3.390259,	-3.368529
-6.759009,	3.390369,	-3.368640
-6.759230,	3.390480,	-3.368751
-6.759451,	3.390590,	-3.368861
-6.759672,	3.390700,	-3.368972
-6.759892,	3.390810,	-3.369082
-6.760113,	3.390920,	-3.369193
-6.760334,	3.391030,	-3.369303
-6.760554,	3.391141,	-3.369414
-6.760775,	3.391251,	-3.369524
-6.760996,	3.391361,	-3.369635
-6.761216,	3.391471,	-3.369745
-6.761437,	3.391581,	-3.369856
-6.761658,	3.391691,	-3.369966
-6.761878,	3.391802,	-3.370077
-6.762099,	3.391912,	-3.370187
-6.762320,	3.392022,	-3.370298
-6.762540,	3.392132,	-3.370408
-6.762761,	3.392242,	-3.370519
-6.762982,	3.392352,	-3.370629
-6.763202,	3.392463,	-3.370740
-6.763423,	3.392573,	-3.370850
-6.763644,	3.392683,	-3.370961
-6.763865,	3.392793,	-3.371071
-6.764085,	3.392903,	-3.371182
-6.764306,	3.393013,	-3.371293
-6.764527,	3.393124,	-3.371403
-6.764747,	3.393234,	-3.371514
