EPotencial:	ECinetica:	ETotal:
-0.037393,	0.018825,	-0.018568
-0.037616,	0.018937,	-0.018678
-0.037838,	0.019050,	-0.018789
-0.038061,	0.019162,	-0.018899
-0.038284,	0.019274,	-0.019010
-0.038506,	0.019386,	-0.019121
-0.038729,	0.019498,	-0.019231
-0.038951,	0.019610,	-0.019342
-0.039174,	0.019722,	-0.019452
-0.039397,	0.019834,	-0.019563
-0.039619,	0.019946,	-0.019673
-0.039842,	0.020058,	-0.019784
-0.040064,	0.020170,	-0.019894
-0.040287,	0.020282,	-0.020005
-0.040509,	0.020394,	-0.020115
-0.040732,	0.020506,	-0.020226
-0.040955,	0.020618,	-0.020336
-0.041177,	0.020730,	-0.020447
-0.041400,	0.020842,	-0.020557
-0.041622,	0.020954,	-0.020668
-0.041845,	0.021067,	-0.020778
-0.042068,	0.021179,	-0.020889
-0.042290,	0.021291,	-0.020999
-0.042513,	0.021403,	-0.021110
-0.042735,	0.021515,	-0.021220
-0.042958,	0.021627,	-0.021331
-0.043180,	0.021739,	-0.021442
-0.043403,	0.021851,	-0.021552
-0.043626,	0.021963,	-0.021663
-0.043848,	0.022075,	-0.021773
-0.044071,	0.022187,	-0.021884
-0.044293,	0.022299,	-0.021994
-0.044516,	0.022411,	-0.022105
-0.044738,	0.022523,	-0.022215
-0.044961,	0.022635,	-0.022326
-0.045184,	0.022747,	-0.022436
-0.045406,	0.022859,	-0.022547
-0.045629,	0.022972,	-0.022657
-0.045851,	0.023084,	-0.022768
-0.046074,	0.023196,	-0.022878
-0.046297,	0.023308,	-0.022989
-0.046519,	0.023420,	-0.023099
-0.046742,	0.023532,	-0.023210
-0.046964,	0.023644,	-0.023320
-0.047187,	0.023756,	-0.023431
-0.047409,	0.023868,	-0.023541
-0.047632,	0.023980,	-0.023652
-0.047855,	0.024092,	-0.023763
-0.048077,	0.024204,	-0.023873
-0.048300,	0.024316,	-0.023984
-0.048522,	0.024428,	-0.024094
-0.048745,	0.024540,	-0.024205
-0.048968,	0.024652,	-0.024315
-0.049190,	0.024764,	-0.024426
-0.049413,	0.024877,	-0.024536
-0.049635,	0.024989,	-0.024647
-0.049858,	0.025101,	-0.024757
-0.050080,	0.025213,	-0.024868
-0.050303,	0.025325,	-0.024978
-0.050526,	0.025437,	-0.025089
-0.050748,	0.025549,	-0.025199
-0.050971,	0.025661,	-0.025310
-0.051193,	0.025773,	-0.025420
-0.051416,	0.025885,	-0.025531
-0.051639,	0.025997,	-0.025641
-0.051861,	0.026109,	-0.025752
-0.052084,	0.026221,	-0.025862
-0.052306,	0.026333,	-0.025973
-0.052529,	0.026445,	-0.026084
-0.052751,	0.026557,	-0.026194
-0.052974,	0.026669,	-0.026305
-0.053197,	0.026782,	-0.026415
-0.053419,	0.026894,	-0.026526
-0.053642,	0.027006,	-0.026636
-0.053864,	0.027118,	-0.026747
-0.054087,	0.027230,	-0.026857
-0.054310,	0.027342,	-0.026968
-0.054532,	0.027454,	-0.027078
